Term,Definition
Agriculture,"Agriculture is cultivation on a larger scale, typically of domesticated species. Agriculture often describes economic reliance on domesticated species and is typically accompanied by large-scale landscape transformations as well as economic transformations. Agriculture can include reliance on plants and/or animals, although reliance on animals without plants is often termed pastoralism, and reliance on both plants and animals within a single economy may alternatively be termed agropastoralism"
Agropastoralism,"Agropastoralism is a form of agriculture in which the cultivation of domesticated plants and herding of domesticated animals both are central to the economy. Agropastoral communities may be sedentary, to enable cultivation of plants, seasonally mobile (moving animals between summer and winter pastures, for example), or segmented, in which part of the population moves with animals while others stay in one location to farm."
Birefringence,"Birefringence is an optical property of starch granules (as well as other microscopic structures) due to their semi-crystalline structure. Under cross-polarized light, birefringent structures produce a unique cross-shaped pattern, often termed the extinction cross. This feature helps to identify one type of plant's starch granules from those of another plant."
Botanical macroremains,"Botanical macroremains include archaeological plant remains visible with the naked eye, though usually analyzed with microscopes. These include various types of seeds, fruits, wood, and other large parts of plants."
Botanical microremains,"Botanical microremains include archaeological plant remains too small to see with the naked eye, which require microscopes to see. These include phytoliths, pollen, and starch granules."
Carbonization,"Carbonization is the process by which heat converts organic plant materials into inorganic carbon, such as converting wood into charcoal. Carbonization typically occurs under low heat over long periods or at high temperatures for short periods, typically in the presence of limited oxygen. With ample oxygen, plant materials are more likely to burn entirely into ash than to carbonize."
Crop rotation,"Crop rotation means that different plants are grown in a field in successive planting seasons. For example, modern farmers in the US may plant maize (corn) one year, then soybeans (which fix nitrogen, restoring soil nutrients), then a year of fallow, before cycling back to maize. Such systems are dependent on knowledge of the characteristics of specific crops and in periods before a detailed understanding of soil chemistry and plant physiology, were developed through trial and error over centuries, which resulted in sophisticated systems of traditional farming knowledge."
Cultivation,"Cultivation is the set of human practices that involve intervention in plant lifecycles to encourage their growth and productivity for human use. This may be small scale, such as clearing away other, undesirable plants so that a preferred plant can spread. Cultivation appears to have preceded domestication in many parts of the world, but represents the set of practices that ultimately led to domestication of many cultivated species."
Domestication,"Domestication is the process by which plants or animals undergo physical (morphological) and underlying genetic changes as a result of human intervention in their reproduction. This might include deliberate selection, such as preferentially choosing only the largest seeds from one generation of plants to grow into the next generation, or choosing only the most docile and friendly animals to breed for the next generation. Unintentional selection can occur as well, with some traits unexpectedly becoming more common or even fixed (universal) among the domesticated population due to co-evolutionary forces."
Extensive,"Extensive agricultural systems are those that reduce the amount of labor needed per unit of food yield by increasing the area of land under cultivation or pastoral production."
Fallow,"Fallow is the period of time in which a field is not farmed, allowing natural vegetation to regrow and re-establish soil nutrients following cultivation. Often fields are fallowed every other year, or one year in three or four, especially in cycles of crop rotation."
Flotation,"Flotation is a process that uses water to separate materials in a soil sample by density. The soil is dissolved and washed away, while heavy artifacts sink and are later dried and sorted. Most importantly, carbonized plant macroremains float and can be collected from the surface of the flotation tank."
Intensive,"Intensive agricultural systems are those in which increases in labor inputs result in increased food yields per unit of area."
Involution,"Agricultural involution describes periods in which increased labor is needed to maintain crop yields, without increasing yields per unit area or overall."
Irrigation,"Irrigation describes means to deliver supplementary water to crops. This includes everything from hand-watering, as we might in a garden today, to diverting a portion of a river's flow to a field during a critical period of the growth cycle. Typical archaeological evidence for irrigation takes the form of durable remains of irrigation systems, such as identifying the remains of irrigation canals, or evidence from the crops themselves that the plants received additional water beyond what is possible from local rainfall."
Manuring,"Manuring is a form of fertilization, in which animal manure (usually from sheep, goats, or cattle, though also human feces have been used historically by many cultures, as well as llama dung in the Andes) is mixed with soil in the fields to enrich the soil and improve crop yields. Chemically, this introduces both nitrogen and phosphorus, which are often the two elements that most limit plant growth."
Paleoethnobotany,"Paleoethnobotany is the study of plant remains from archaeological contexts. A synonym for this field of study is archaeobotany, a term generally preferred in Europe, while paleoethnobotany is more common in North America."
Pastoralism,"Pastoralism is a form of agriculture in which humans rely on heavily or exclusively on the care of domesticated animals. This can include forms of sedentary pastoralism, in which people live in one location and tend animals there, but often includes various types of mobility, in which humans move with animals across the landscape to access different food and water resources for those animals."
Path dependencies,"Path dependencies result from past decisions that limit the range of present and future options. For example, agriculture itself created a path dependency: it would be impossible to feed the world's current population through hunting and gathering. We don't have an alternative to agriculture if we are to feed the world's current population."
Phytoliths,"Phytoliths are inorganic structures of silica (SiO2) that form within and between cells of many plants. Phytoliths are durable in a wide variety of archaeological contexts but dissolve under highly alkaline (high pH) conditions."
Pollen,"Pollen is the male sex cell of flowering and seed-bearing plants. The durable outer layer of pollen is degraded by oxygen but is preserved in oxygen-free waterlogged locations, such as at the bottom of lakes."
Polycropping,"Polycropping (also termed multicropping) describes planting multiple crops together, either at once or in sequence, in a single field. For example, maize, beans, and squash (known together as the ""Three Sisters"") were often planted together in traditional agricultural systems of eastern North America. Each plant supported the growth of the others: maize grew tall, providing a scaffold for bean vines to grow upwards to the sun; beans supplied nitrogen to the soil; squash grew broad leaves close to the ground that shaded the soil, maintaining soil moisture and limiting weed growth."
Starch granules,"Starch granules are specialized structures used by plants to store starch as a supply of future energy. Starch is often deposited in the stem or root structure of a plant (e.g., a potato) to power future growth, or in a developing seed, to support the new plant when it begins to grow (e.g., a grain of rice). Starch granules are birefringent due to their semi-crystalline structure of alternating layers of two types of starch: amylose and amylopectin."
