Term,Definition
Bipedal,"Bipedal primates are those who habitually walk on two legs. While bipedality is not unique to our lineage (kangaroos, for example, are bipedal, as are birds!), only hominins are bipedal among the primates. Chimpanzees and gorillas, among other primates, can walk on two feet, but return to walking on all fours regularly."
Collagen,"Collagen is the protein component of bone, found also in cartilage, which gives bone its flexibility."
Comparative approach,The comparative approach is used by biological anthropologists and paleoanthropologists to understand the relationship between anatomical features and behaviors by drawing on the shared history of evolutionary adaptations to environmental constraints and opportunities between the species under investigation.
Cortical bone,"Cortical bone is hard, dense bone, found on the outer surface of bones."
Diaphysis,The diaphysis is the shaft of long bones. Diaphyses typically ossify (turn from cartilage to bone) earlier than the epiphyses with which they eventually fuse.
Epiphyses,Epiphyses are the ends of bones that articulate (connect) with other bones. Epiphyses form from cartilage as separate pieces of bone that eventually fuse with the diaphysis at an age determined by the developmental biology of the species.
Hearths,"Hearths are features used to control fire for purposes of heating or cooking. Archaeologists use this term as a general term for open fire features, in opposition to ovens, which are constructed features with an enclosed interior heated space. A campfire would be termed a hearth by archaeologists, whether an informal ring of stones used once or a carefully constructed, permanent masonry fire pit at a picnic site or in someone’s backyard."
Heuristic models,"Heuristic models are theoretical models designed to facilitate thinking while being only partial or approximate. The emphasis on heuristic models is thinking and prediction, rather than absolute accuracy."
Holocene,"The Holocene is the geological epoch that lasted from approximately 11,700 years ago up to the near present, the time at which humans began to so greatly affect the climate cycle as to create a new geological era, proposed to be named the Anthropocene. The Holocene is defined climatically, as it differs markedly from the preceding Pleistocene, with its glacial periods. The Holocene has been warmer, wetter, with smaller glaciers and higher sea levels and more stable climatic conditions than the Pleistocene."
Hominin,"Hominin is the term used to reference bipedal primates: humans and our extinct ancestors of the genus Homo and the earlier genus Australopithecus , as well as other smaller or taxonomically uncertain branches of extinct bipedal primates. In the archaeological literature, and in this class, we use the term hominin to refer exclusively to human species of the genus Homo , both living and extinct, and the extinct hominins of our lineage since the split from the genus Pan."
Hybrids,"Hybrids are the result of two species being bred together, either naturally or through controlled breeding by humans. The names of hybrids insert an “x” between the genus and species names (e.g., Citrus × sinensis , the sweet orange) to denote that they are hybrids. Many hybrids are not fertile (e.g., a mule, hybrid between a horse and a donkey, is infertile) but some are fertile with their own hybrid species or other closely related species (as are the citrus fruits, which is why we have so many types)."
Hydroxyapatite,"Hydroxyapatite is the inorganic component of bone, composed of calcium and phosphate, which gives bone its strength."
Marrow,"Bone marrow is a fatty tissue within bones that produces blood cells. It is typically found in the highest concentration within the medullary cavity of long bones, but is also present in trabecular bone."
Micromorphology,"Micromorphology is the set of geological techniques used to study the microscopic structure of sediments and soils. A block of soil, such as from a presumed fire feature, is taken from the site to a laboratory where it is impregnated with a plastic resin that hardens into a clear block. Exceptionally thin slices of this block are mounted on glass and studied under a microscope; using different types of light, it is possible to identify the presence of specific minerals and materials that result from fire."
MNI,MNI stands for minimum number of individuals and is the minimum number of individual animals that could have contributed to produce the zooarchaeological assemblage under investigation.
Monogastric,"Monogastric animals have a single stomach, in contrast with ruminant animals (such as cows), which have multiple stomach chambers for specialized, multi-stage fermentation of plant foods, especially cellulose."
Neolithic,"The Neolithic is the archaeological era that began approximately 12,000 years ago; it ended at different times in different parts of the world. This period is defined as that in which advanced stone tools are the dominant form of durable technology, beginning with early agriculture and ending with the introduction of metal technologies. The earliest copper tools appear in Southwest Asia around 6,500 years ago, but not until 4,000-3,000 years ago in other parts of Eurasia, and only after European contact in the Americas. Note that the entirety of the Neolithic takes place within the Holocene; it has been argued that agriculture only became possible in the Holocene due to the warmer, wetter, and more stable climate of that epoch."
NISP,"NISP stands for number of identified specimens and is the count of all bones or bone fragments by taxon for a sample, stratigraphic unit, or site."
Paleolithic,"The Paleolithic is the archaeological era that lasted from approximately 3.3 million years ago to 12,000 years ago. This period is defined as that from the earliest evidence of human-made stone tools (the earliest technology discovered to date) until the advent of farming around 12,000 years ago. Note this makes it roughly coincident with the Pleistocene, but the Paleolithic is defined by technology, not by climate (though the two are closely linked)."
Pleistocene,"The Pleistocene is the geological epoch that lasted from approximately 2.6 million years ago to 11,700 years ago. This period is defined climatically, as it is the epoch dominated by glacial conditions, cold periods in which glaciers expanded. For this reason, the Pleistocene is often popularly termed the “Ice Age”. The entire Pleistocene was not uniformly cold, however, as glacial periods were interspersed with interglacial periods, warmer periods in which glaciers shrank."
Pleistocene megafauna,"Pleistocene megafauna are large-bodied mammals and birds of the Pleistocene epoch. Nearly all of these creatures went extinct during the late Pleistocene or early Holocene; some (such as the elephant, rhinoceros, and hippo) still exist, mainly in Africa. It is still hotly debated whether human hunting or climate change was the primary reason for their extinction, though it is highly likely that human hunting played at least some role in this process."
Primary data,"Primary data are data obtained from the physical characteristics of individual bones themselves, such as element, side, taxon, count, modification, etc."
Primates,"Primates are an order of mammals that evolved between 85 and 55 million years ago. Shared characteristics include large brains, a highly developed sense of vision (including full color vision), flexible shoulders, and dexterous hands (with opposable thumbs in most species). Many primates are social, living in groups."
Rubefaction,"Rubefaction means “reddening” (from the Latin ruber, meaning red – think of the gemstone called a “ruby”) and describes the color change in certain sediments resulting from heating. This color change only takes place in iron-rich sediments and soils because it is the result of the conversion of iron from its original mineral state to produce iron oxides (that is, rust!) that forms a layer on the heated surface."
Secondary data,"Secondary data are data extrapolated from attributes of the skeletal elements examined, especially at the level of the population contained within the archaeological assemblage."
Spectroscopy,"Spectroscopy describes a suite of scientific techniques that measure the results of the interaction of electromagnetic radiation (light, both visible and invisible, as well as x-rays, gamma rays, microwaves, and others) of specific wavelengths with matter to determine its composition. One form of spectroscopy, Fourier-transform infrared spectroscopy (abbreviated FTIR) can used to identify the changes in the minerals present in both inorganic substances (such as sediments or ceramics) and organic substances (such as bone) that are known to result from heating to certain temperatures. FTIR can tell us how hot a fire was that was used to fire a ceramic pot, or that was present in a hearth."
Taphonomy,"Taphonomy is the study of how organisms decay following death, especially once buried, and enter the archaeological record. Taphonomy includes the study of how organisms or their remains are disposed of by humans as well as how natural processes affect those remains once buried."
Taxon,"Taxon (plural: taxa) is a term referring to the taxonomic group of an individual organism, whether that is species or a higher-level classification. For example, humans ( Homo sapiens ) are part of the family Hominidae (hominids, including gorillas, chimps, bonobos, orangutans), the order Primates (all primates), and the class Mammalia (mammals). Often closely related taxa may have bones that are difficult to distinguish, such as domesticated sheep ( Ovis aries ) and goats ( Capra hircus ), so are placed into a higher-level taxonomic group during identification: Ovis / Capra or sheep/goat."
Trabecular bone,"Trabecular bone is spongy, brittle bone, found in the ends of large bones or their interior cavities."
Zooarchaeology,"Zooarchaeology is the study of animal remains from archaeological contexts. While it can include the study of animal remains of any type, most zooarchaeologists study bone and shell, which are the most likely to be preserved archaeologically."
