Term,Definition
Cacao,"Cacao is the name used in several Mayan languages to refer to the tree Theobroma cacao and its seeds, as well as a beverage derived from those seeds."
Chocolate,"Chocolate is a food made from fermented, roasted, ground cacao seeds. The addition of sugar and milk to cacao to make what we term ""milk chocolate"" is a European addition; neither cane sugar nor milk was available to the Maya or Aztecs."
Depleted,"Depleted delta values are those below zero (negative). For example, a δ¹³C value of -26.2‰ represents depletion in the heavy isotope, such as might occur during photosynthesis."
Enriched,"Enriched delta values are those greater than zero. For example, a δ¹⁵N value of 6.2‰ represents enrichment in the heavy isotope, such as might be found in a predator's skeletal collagen."
Equifinality,"Equifinality describes the condition of two or more processes that result in the same outcome. As a result, simply knowing the end result (such as the δ¹³C and δ¹⁵N values of an individual) may not be sufficient to determine the process (here, the diet eaten) that would produce that specific outcome, as two or more processes might have produced identical outcomes."
Isotope-ratio mass spectrometry,"Isotope ratio mass spectrometry, abbreviated IRMS, is a form of mass spectrometry that is preferred for the analysis of stable carbon and nitrogen isotopes."
Isotopes,"Isotopes are atoms of a single element that differ in their number of neutrons, and thus their atomic mass."
Isotopic fractionation,"Isotopic fractionation is when different isotopes of the same element behave differently during a physical or chemical process. This can occur as equilibrium or kinetic fractionation; the latter is more relevant for biological processes."
Linear mixing models,"Linear mixing models are mathematical and graphical models that explore the range of values possible when two or more variables are mixed. In the case of isotope studies of diet, linear mixing models are used to distinguish the input of a certain number of foods with distinct isotopic compositions in the diet of individuals; if carbon and nitrogen isotope values are modeled, the graph appears in two dimensions and up to three distinct foods (or groups of similar foods, such as marine fish or C4 plants) can be incorporated into the model."
Psychoactive,"Psychoactive drugs are those that affect the mind, resulting in altered mood or perception."
Stable isotopes,"Stable isotopes are isotopes that are not radioactive; they do not decay."
